CLUSTER_ID,CLUSTER_SUMMARY,NUM_REVIEWS_MENTIONING,FAKE_REVIEWS,TITLE,UPDATED_TITLE,ADJUSTED_TITLE,SUCINCT_TITLE,Sentiment,Simplified_Title
2411393170017514840,Prompt and reliable assistance,3,"['Serious inside else memory if six field live on traditional. prompt and reliable assistance Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. prompt and reliable assistance Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. prompt and reliable assistance Feeling fact by four two data son.']",Prompt and reliable assistance,Prompt and reliable assistance,Prompt and reliable assistance,Prompt and reliable assistance,Neutral,General Feedback
2411393170017514831,"Positive, long-term relationships",2,"['Serious inside else memory if six field live on traditional. positive, long-term relationships Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive, long-term relationships Trouble behavior style report size personal partner stock four room region as true.']","Positive, long-term relationships","Positive, long-term relationships","Positive, long-term relationships","Positive, long-term relationships",Positive,General Feedback
2411393170017514822,Cold office discomfort,2,"['Serious inside else memory if six field live on traditional. cold office discomfort Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. cold office discomfort Trouble behavior style report size personal partner stock four room region as true.']",Cold office discomfort,Cold office discomfort,Cold office discomfort,Cold office discomfort,Neutral,General Feedback
241139317001751485,Inconsistency and difficulties in accessing appropriate medical care,2,"['Serious inside else memory if six field live on traditional. inconsistency and difficulties in accessing appropriate medical care Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. inconsistency and difficulties in accessing appropriate medical care Trouble behavior style report size personal partner stock four room region as true.']",Inconsistency and difficulties in accessing appropriate medical...,Inconsistency and difficulties in accessing appropriate medical care,Inconsistency and difficulties in accessing app...,Inconsistency and difficulties in accessing,Neutral,General Feedback
241139317001751488,Appreciation and gratitude,2,"['Serious inside else memory if six field live on traditional. appreciation and gratitude Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. appreciation and gratitude Trouble behavior style report size personal partner stock four room region as true.']",Appreciation and gratitude,Appreciation and gratitude,Appreciation and gratitude,Appreciation and gratitude,Neutral,General Feedback
2411393170017514842,"""Comfort and relaxation""",2,"['Serious inside else memory if six field live on traditional. ""comfort and relaxation"" Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. ""comfort and relaxation"" Trouble behavior style report size personal partner stock four room region as true.']","""Comfort and relaxation""","""Comfort and relaxation""","""Comfort and relaxation""","""Comfort and relaxation""",Neutral,General Feedback
2411393170017514811,Reluctance to refer patients to specialists,2,"['Serious inside else memory if six field live on traditional. reluctance to refer patients to specialists Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. reluctance to refer patients to specialists Trouble behavior style report size personal partner stock four room region as true.']",Reluctance to refer patients to specialists,Reluctance to refer patients to specialists,Reluctance to refer patients to specialists,Reluctance to refer patients to specialists,Neutral,General Feedback
2411393170017514814,Waiting time and lack of time with the doctor,2,"['Serious inside else memory if six field live on traditional. waiting time and lack of time with the doctor Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. waiting time and lack of time with the doctor Trouble behavior style report size personal partner stock four room region as true.']",Waiting time and lack of time with...,Waiting time and lack of time with the doctor,Waiting time and lack of time with the doctor,Waiting time and lack of time with the doctor,Neutral,General Feedback
2411393170017514815,"Unfulfilled promises, lack of value",2,"['Serious inside else memory if six field live on traditional. unfulfilled promises, lack of value Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. unfulfilled promises, lack of value Trouble behavior style report size personal partner stock four room region as true.']","Unfulfilled promises, lack of value","Unfulfilled promises, lack of value","Unfulfilled promises, lack of value","Unfulfilled promises, lack of value",Neutral,General Feedback
2411393170017514816,Unwelcoming and slighted,2,"['Serious inside else memory if six field live on traditional. unwelcoming and slighted Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. unwelcoming and slighted Trouble behavior style report size personal partner stock four room region as true.']",Unwelcoming and slighted,Unwelcoming and slighted,Unwelcoming and slighted,Unwelcoming and slighted,Neutral,General Feedback
2411393170017514825,Positive and attentive demeanor,2,"['Serious inside else memory if six field live on traditional. positive and attentive demeanor Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive and attentive demeanor Trouble behavior style report size personal partner stock four room region as true.']",Positive and attentive demeanor,Positive and attentive demeanor,Positive and attentive demeanor,Positive and attentive demeanor,Positive,General Feedback
2411393170017514817,Delayed diagnosis,2,"['Serious inside else memory if six field live on traditional. delayed diagnosis Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. delayed diagnosis Trouble behavior style report size personal partner stock four room region as true.']",Delayed diagnosis,Delayed diagnosis,Delayed diagnosis,Delayed diagnosis,Neutral,General Feedback
2411393170017514832,highly recommends clinic and doctor,2,"['Serious inside else memory if six field live on traditional. highly recommends clinic and doctor Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. highly recommends clinic and doctor Trouble behavior style report size personal partner stock four room region as true.']",highly recommends clinic and doctor,highly recommends clinic and doctor,highly recommends clinic and doctor,highly recommends clinic and doctor,Neutral,General Feedback
2411393170017514824,Efficiency and convenience,2,"['Serious inside else memory if six field live on traditional. efficiency and convenience Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. efficiency and convenience Trouble behavior style report size personal partner stock four room region as true.']",Efficiency and convenience,Efficiency and convenience,Efficiency and convenience,Efficiency and convenience,Neutral,General Feedback
241139317001751482,Positive word-of-mouth recommendation,2,"['Serious inside else memory if six field live on traditional. positive word-of-mouth recommendation Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive word-of-mouth recommendation Trouble behavior style report size personal partner stock four room region as true.']",Positive word-of-mouth recommendation,Positive word-of-mouth recommendation,Positive word-of-mouth recommendation,Positive word-of-mouth recommendation,Positive,General Feedback
2411393170017514828,High level of trust and dependability,2,"['Serious inside else memory if six field live on traditional. high level of trust and dependability Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. high level of trust and dependability Trouble behavior style report size personal partner stock four room region as true.']",High level of trust and dependability,High level of trust and dependability,High level of trust and dependability,High level of trust and dependability,Neutral,General Feedback
2411393170017514834,Customer-centric approach,2,"['Serious inside else memory if six field live on traditional. customer-centric approach Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. customer-centric approach Trouble behavior style report size personal partner stock four room region as true.']",Customer-centric approach,Customer-centric approach,Customer-centric approach,Customer-centric approach,Neutral,General Feedback
2411393170017514833,Positive friendliness,2,"['Serious inside else memory if six field live on traditional. positive friendliness Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive friendliness Trouble behavior style report size personal partner stock four room region as true.']",Positive friendliness,Positive friendliness,Positive friendliness,Positive friendliness,Positive,General Feedback
2411393170017514851,Customer satisfaction and personalized care,2,"['Serious inside else memory if six field live on traditional. customer satisfaction and personalized care Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. customer satisfaction and personalized care Trouble behavior style report size personal partner stock four room region as true.']",Customer satisfaction and personalized care,Customer satisfaction and personalized care,Customer satisfaction and personalized care,Customer satisfaction and personalized care,Neutral,General Feedback
2411393170017514845,Soliciting expert advice for unbiased and valuable feedback,2,"['Serious inside else memory if six field live on traditional. soliciting expert advice for unbiased and valuable feedback Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. soliciting expert advice for unbiased and valuable feedback Trouble behavior style report size personal partner stock four room region as true.']",Soliciting expert advice for unbiased and valuable...,Soliciting expert advice for unbiased and valuable feedback,Soliciting expert advice for unbiased and valua...,Soliciting expert advice for unbiased and,Neutral,General Feedback
2411393170017514830,Pride in professionalism and attention to appearance,2,"['Serious inside else memory if six field live on traditional. pride in professionalism and attention to appearance Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. pride in professionalism and attention to appearance Trouble behavior style report size personal partner stock four room region as true.']",Pride in professionalism and attention to appearance,Pride in professionalism and attention to appearance,Pride in professionalism and attention to appea...,Pride in professionalism and attention to,Neutral,General Feedback
2411393170017514829,Positive experience with breathing,2,"['Serious inside else memory if six field live on traditional. positive experience with breathing Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive experience with breathing Trouble behavior style report size personal partner stock four room region as true.']",Positive experience with breathing,Positive experience with breathing,Positive experience with breathing,Positive experience with breathing,Positive,General Feedback
2411393170017514839,Positive and consistently helpful demeanor,2,"['Serious inside else memory if six field live on traditional. positive and consistently helpful demeanor Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive and consistently helpful demeanor Trouble behavior style report size personal partner stock four room region as true.']",Positive and consistently helpful demeanor,Positive and consistently helpful demeanor,Positive and consistently helpful demeanor,Positive and consistently helpful demeanor,Positive,General Feedback
241139317001751484,"Payment requirement, lack of flexibility",1,"['Serious inside else memory if six field live on traditional. payment requirement, lack of flexibility Cause cause believe son would mouth relate own chair better available sure.']","Payment requirement, lack of flexibility","Payment requirement, lack of flexibility","Payment requirement, lack of flexibility","Payment requirement, lack of flexibility",Neutral,General Feedback
2411393170017514819,Denial of access and inappropriate behavior by Lupe,1,['Serious inside else memory if six field live on traditional. denial of access and inappropriate behavior by lupe Cause cause believe son would mouth relate own chair better available sure.'],Denial of access and inappropriate behavior by...,Denial of access and inappropriate behavior by Lupe,Denial of access and inappropriate behavior by ...,Denial of access and inappropriate behavior by,Neutral,General Feedback
2411393170017514813,Efficiency and quick initiation of medication,1,['Serious inside else memory if six field live on traditional. efficiency and quick initiation of medication Cause cause believe son would mouth relate own chair better available sure.'],Efficiency and quick initiation of medication,Efficiency and quick initiation of medication,Efficiency and quick initiation of medication,Efficiency and quick initiation of medication,Neutral,General Feedback
241139317001751489,Lack of personal connection or empathy from Dr Lewis,1,['Serious inside else memory if six field live on traditional. lack of personal connection or empathy from dr lewis Cause cause believe son would mouth relate own chair better available sure.'],Lack of personal connection or empathy from...,Lack of personal connection or empathy from Dr Lewis,Lack of personal connection or empathy from Dr ...,Lack of personal connection or empathy from Dr,Neutral,General Feedback
2411393170017514836,Consistent care and genuine concern,1,['Serious inside else memory if six field live on traditional. consistent care and genuine concern Cause cause believe son would mouth relate own chair better available sure.'],Consistent care and genuine concern,Consistent care and genuine concern,Consistent care and genuine concern,Consistent care and genuine concern,Neutral,General Feedback
